N,S(r/min),ap(mm),ae(mm),F(mm/min),s(mm),MRR(mm3/min),G
,15000,0,0,6500,0,0,Y51.28
,15000,0,0,6500,0,0,Y51.28
,15000,0,0,6500,0,0,Y51.28
,15000,0,0,6500,0,0,Y51.28
,15000,0,0,6500,0,0,Y51.28
,15000,0,0,6500,0,0,Y51.28
,15000,0,0,6500,0,0,Y51.28
,15000,0,0,6500,0,0,Y55.28
,15000,0,0,6500,0,0,Y55.28
,15000,0,0,6500,0,0,Y55.28
,15000,0,0,6500,0,0,Y55.28
,15000,0,0,6500,0,0,Y55.28
,15000,0,0,6500,0,0,Y55.28
,15000,0,0,6500,0,0,Y55.28
,15000,0,0,6500,0,0,Y55.28
,15000,0,0,2000,0,0,G00 Z-2.
,15000,0,0,2000,0,0,G00 Z-2.
,15000,0,0,6500,0,0,G01 Y51.28
,15000,0,0,6500,0,0,G01 Y51.28
,15000,0,0,6500,0,0,G01 Y51.28
,15000,0,0,6500,0,0,G01 Y51.28
,15000,0,0,6500,0,0,G01 Y51.28
,15000,0,0,6500,0,0,G01 Y51.28
,15000,0,0,6500,0,0,G01 Y51.28
,15000,0,0,6500,0,0,G01 Y51.28
,15000,0,0,6500,0,0,Y42.94
,15000,0,0,6500,0,0,Y42.94
,15000,0,0,6500,0,0,Y42.94
,15000,0,0,6500,0,0,Y42.94
,15000,0,0,6500,0,0,Y42.94
,15000,0,0,6500,0,0,Y42.94
,15000,0,0,6500,0,0,Y42.94
,15000,0,0,6500,0,0,Y42.94
,15000,0,0,6500,0,0,Y42.94
,15000,0,0,6500,0,0,Y42.94
,15000,0,0,6500,0,0,Y42.94
,15000,0,0,6500,0,0,Y42.94
,15000,0.999996,1.8,6500,0,194.99922,Y42.94
,15000,0.999996,4.4,6500,0,476.66476,Y42.94
,15000,0.999996,6,6500,0,649.9974,Y42.94
,15000,0.999996,7,6500,0,758.3303,Y42.94
,15000,0.999996,7.8,6500,0,844.99662,Y42.94
,15000,0.999996,3.32134,6500,0,359.810394,X-73.557 Y42.865
,15000,0.999996,2.06235,6500,0,223.420356,X-73.557 Y42.865
,15000,0.999996,2.7538,6500,0,298.32714,X-73.557 Y42.865
,15000,0.999996,4.97602,6500,0,539.066677,X-73.557 Y42.865
,15000,0.999996,5.4996,6500,0,595.787617,X-73.557 Y42.865
,15000,0.999996,7.498,6500,0,812.280084,X-73.557 Y42.865
,15000,0.999996,5.69145,6500,0,616.571284,X-73.557 Y42.865
,15000,0.999996,5.65548,6500,0,612.674549,X-73.557 Y42.865
,15000,0.999996,0,6500,0,0,X-73.557 Y42.865
,15000,0.999996,3.71187,6500,0,402.117642,X-73.679 Y42.804
,15000,0.999996,4.02492,6500,0,436.031256,X-73.679 Y42.804
,15000,0.999996,4.02492,6500,0,436.031256,X-73.679 Y42.804
,15000,0.999996,1.8783,6500,0,203.481686,X-73.679 Y42.804
,15000,0.999996,1.92302,6500,0,208.326333,X-73.679 Y42.804
,15000,0.999996,3.84604,6500,0,416.652667,X-73.679 Y42.804
,15000,0.999996,3.21994,6500,0,348.825438,X-73.679 Y42.804
,15000,0.999996,2.41495,6500,0,261.618537,X-73.679 Y42.804
,15000,0.999996,4.29325,6500,0,465.100223,X-73.679 Y42.804
,15000,0.999996,4.68011,6500,0,507.009889,G03 X-78.802 Y37.199 I4.236 J-9.015
,15000,0.999996,5.20991,6500,0,564.404659,G03 X-78.802 Y37.199 I4.236 J-9.015
,15000,0.999996,5.75009,6500,0,622.923925,G03 X-78.802 Y37.199 I4.236 J-9.015
,15000,0.999996,6.26605,6500,0,678.819368,G03 X-78.802 Y37.199 I4.236 J-9.015
,15000,0.999996,6.38134,6500,0,691.309068,G03 X-78.802 Y37.199 I4.236 J-9.015
,15000,0.999996,5.75578,6500,0,623.540339,G03 X-78.802 Y37.199 I4.236 J-9.015
,15000,0.999996,5.32736,6500,0,577.128358,G03 X-78.802 Y37.199 I4.236 J-9.015
,15000,0.999996,5.05174,6500,0,547.269644,G03 X-78.802 Y37.199 I4.236 J-9.015
,15000,0.999996,4.94443,6500,0,535.644441,G03 X-78.802 Y37.199 I4.236 J-9.015
,15000,0.999996,4.77589,6500,0,517.386014,G03 X-78.802 Y37.199 I4.236 J-9.015
,15000,1,4.69864,6500,0,509.019333,G03 X-78.802 Y37.199 I4.236 J-9.015
,15000,0.999996,4.59483,6500,0,497.771259,G03 X-78.802 Y37.199 I4.236 J-9.015
,15000,0.999996,4.58405,6500,0,496.60343,G03 X-78.802 Y37.199 I4.236 J-9.015
,15000,0.999996,4.54224,6500,0,492.074032,G03 X-78.802 Y37.199 I4.236 J-9.015
,15000,1,4.72189,6500,0,511.538083,G03 X-78.802 Y37.199 I4.236 J-9.015
,15000,2,4.09493,6500,0,887.234833,G02 X-79.721 Y35.55 I-4.914 J1.658
,15000,0.999996,3.43967,6500,0,372.629426,G02 X-79.721 Y35.55 I-4.914 J1.658
,15000,1,2.47015,6500,0,267.599583,G02 X-79.721 Y35.55 I-4.914 J1.658
,15000,1,2.15662,6500,0,233.633833,G03 X-83.472 Y25.135 I13.152 J-10.62
,15000,0.999996,2.02313,6500,0,219.17154,G03 X-83.472 Y25.135 I13.152 J-10.62
,15000,0.999996,1.87756,6500,0,203.40152,G03 X-83.472 Y25.135 I13.152 J-10.62
,15000,1,1.79316,6500,0,194.259,G03 X-83.472 Y25.135 I13.152 J-10.62
,15000,0.999996,1.70971,6500,0,185.217842,G03 X-83.472 Y25.135 I13.152 J-10.62
,15000,0.999996,1.61999,6500,0,175.498215,G03 X-83.472 Y25.135 I13.152 J-10.62
,15000,0.999996,1.53829,6500,0,166.647417,G03 X-83.472 Y25.135 I13.152 J-10.62
,15000,0.999996,1.45456,6500,0,157.576703,G03 X-83.472 Y25.135 I13.152 J-10.62
,15000,0.999996,1.40656,6500,0,152.376724,G03 X-83.472 Y25.135 I13.152 J-10.62
,15000,0.999996,1.34716,6500,0,145.94175,G03 X-83.472 Y25.135 I13.152 J-10.62
,15000,0.999996,1.27667,6500,0,138.305363,G03 X-83.472 Y25.135 I13.152 J-10.62
,15000,1,1.28856,6500,0,139.594,G03 X-83.472 Y25.135 I13.152 J-10.62
,15000,1,1.25407,6500,0,135.857583,G03 X-83.472 Y25.135 I13.152 J-10.62
,15000,0.999996,1.20455,6500,0,130.492395,G03 X-83.472 Y25.135 I13.152 J-10.62
,15000,1,1.21721,6500,0,131.864417,G03 X-83.472 Y25.135 I13.152 J-10.62
,15000,0.999996,1.20956,6500,0,131.035143,G03 X-83.472 Y25.135 I13.152 J-10.62
,15000,0.999996,1.21718,6500,0,131.860639,G03 X-83.472 Y25.135 I13.152 J-10.62
,15000,0.999996,1.21689,6500,0,131.829223,G03 X-83.472 Y25.135 I13.152 J-10.62
,15000,0.999996,1.27301,6500,0,137.908865,G03 X-83.472 Y25.135 I13.152 J-10.62
,15000,0.999996,1.29272,6500,0,140.044106,G03 X-83.472 Y25.135 I13.152 J-10.62
,15000,0.999996,1.34637,6500,0,145.856167,G03 X-83.472 Y25.135 I13.152 J-10.62
,15000,1,1.46957,6500,0,159.203417,G03 X-83.472 Y25.135 I13.152 J-10.62
,15000,0.999996,1.48489,6500,0,160.86244,G01 X-83.479 Y23.836
,15000,0.999996,1.48489,6500,0,160.86244,G01 X-83.479 Y23.836
,15000,0.999996,1.48435,6500,0,160.80394,G01 X-83.479 Y23.836
,15000,0.999996,1.49994,6500,0,162.49285,X-83.48 Y-23.766
,15000,0.999996,1.49994,6500,0,162.49285,X-83.48 Y-23.766
,15000,0.999996,1.49994,6500,0,162.49285,X-83.48 Y-23.766
